Year,Petroleum
2023,1559
2024,1724
2025,1907
2026,2121
2027,2230
2028,2230
2029,2230
2030,2230
2031,2230
2032,2230
2033,2230
2034,2230
2035,2230
2036,2230
2037,2230
2038,2230
2039,2230
2040,2230
2041,2230
2042,2230
2043,2230
2044,2230
2045,2230
2046,2230
2047,2230
2048,2230
2049,2230
2050,2230
2051,2230
2052,2230
2053,2230
2054,2293
2055,2385
2056,2480
2057,2579
2058,2682
2059,2790
2060,2901
2061,3017
2062,3138
2063,3264
2064,3361
2065,3462
2066,3566
2067,3673
2068,3783
2069,3897
2070,4014
2071,4134
2072,4258
2073,4386
2074,4518
2075,4653
2076,4793
2077,4936
2078,5084
2079,5237
2080,5394
2081,5556
2082,5723
2083,5894
2084,6071
2085,6253
2086,6441
2087,6634
2088,6833
2089,7038
2090,7249
2091,7467
2092,7691
2093,7921
2094,8080
2095,8242
2096,8406
2097,8574
2098,8746
2099,8921
2100,9099
