Month,Price 
01/01/2024,2.802
01/02/2024,2.763
01/03/2024,2.637
01/04/2024,2.595
01/05/2024,2.658
01/06/2024,2.801
01/07/2024,2.948
01/08/2024,3.002
01/09/2024,2.993
01/10/2024,3.072
01/11/2024,3.456
01/12/2024,3.935
01/01/2025,4.229
01/02/2025,4.134
01/03/2025,3.798
01/04/2025,3.47
01/05/2025,3.466
01/06/2025,3.596
01/07/2025,3.73
01/08/2025,3.761
01/09/2025,3.736
01/10/2025,3.804
01/11/2025,4.117
01/12/2025,4.495
01/01/2026,4.753
01/02/2026,4.615
01/03/2026,4.068
01/04/2026,3.54
01/05/2026,3.515
01/06/2026,3.625
01/07/2026,3.745
01/08/2026,3.78
01/09/2026,3.753
01/10/2026,3.825
01/11/2026,4.12
01/12/2026,4.486
01/01/2027,4.758
01/02/2027,4.593
01/03/2027,4.008
01/04/2027,3.458
01/05/2027,3.436
01/06/2027,3.548
01/07/2027,3.66
01/08/2027,3.702
01/09/2027,3.675
01/10/2027,3.774
01/11/2027,4.076
01/12/2027,4.443
01/01/2028,4.699
01/02/2028,4.514
01/03/2028,3.894
01/04/2028,3.336
01/05/2028,3.314
01/06/2028,3.442
01/07/2028,3.572
01/08/2028,3.628
01/09/2028,3.597
01/10/2028,3.693
01/11/2028,4.072
01/12/2028,4.469
01/01/2029,4.75
01/02/2029,4.55
01/03/2029,3.988
01/04/2029,3.418
01/05/2029,3.382
01/06/2029,3.513
01/07/2029,3.642
01/08/2029,3.685
01/09/2029,3.647
01/10/2029,3.733
01/11/2029,4.096
01/12/2029,4.487
01/01/2030,4.738
01/02/2030,4.553
01/03/2030,3.983
01/04/2030,3.393
01/05/2030,3.348
01/06/2030,3.448
01/07/2030,3.548
01/08/2030,3.588
01/09/2030,3.558
01/10/2030,3.604
01/11/2030,3.949
01/12/2030,4.359
01/01/2031,4.609
01/02/2031,4.429
01/03/2031,3.879
01/04/2031,3.319
01/05/2031,3.297
01/06/2031,3.397
01/07/2031,3.497
01/08/2031,3.537
01/09/2031,3.552
01/10/2031,3.622
01/11/2031,3.942
01/12/2031,4.322
01/01/2032,4.577
01/02/2032,4.407
01/03/2032,3.907
01/04/2032,3.357
01/05/2032,3.335
01/06/2032,3.435
01/07/2032,3.535
01/08/2032,3.575
01/09/2032,3.59
01/10/2032,3.636
01/11/2032,3.841
01/12/2032,4.241
01/01/2033,4.476
01/02/2033,4.296
01/03/2033,3.946
01/04/2033,3.546
01/05/2033,3.524
01/06/2033,3.559
01/07/2033,3.599
01/08/2033,3.639
01/09/2033,3.654
01/10/2033,3.7
01/11/2033,3.875
01/12/2033,4.275
01/01/2034,4.5
01/02/2034,4.34
01/03/2034,4.065
01/04/2034,3.665
01/05/2034,3.643
01/06/2034,3.678
01/07/2034,3.718
01/08/2034,3.758
01/09/2034,3.773
01/10/2034,3.819
01/11/2034,3.969
01/12/2034,4.219
01/01/2035,4.419
01/02/2035,4.354
01/03/2035,4.224
01/04/2035,3.894
01/05/2035,3.872
01/06/2035,3.907
01/07/2035,3.947
01/08/2035,3.987
01/09/2035,4.002
01/10/2035,4.048
01/11/2035,4.12
01/12/2035,4.275
01/01/2036,4.525
01/02/2036,4.46
01/03/2036,4.33
01/04/2036,4
01/05/2036,3.978
01/06/2036,4.013
01/07/2036,4.053
01/08/2036,4.093
01/09/2036,4.108
01/10/2036,4.154
01/11/2036,4.226
01/12/2036,4.381
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
